uid,recorduid,domainID,siteID,namedLocation,collectedBy,startDate,collectDate,stationNumber,tapeDistance,streamProfilingMethod,waterDepth,edgeFactor,surfaceVelocity,oneFifthDepthVelocity,twoFifthDepthVelocity,threeFifthDepthVelocity,fourFifthDepthVelocity,bedVelocity,averageVelocity,sectionArea,sectionFlow,lowVelocityQF,dataQF
"b17f6dd5-bea0-44b0-b804-165e9b547e8d","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",1,0.50,"0 point",0.00,"-",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,
"2ffe70fd-8c11-4823-a6b2-b67dbc98cddc","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",12,2.40,"0 point",0.00,"-",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,
"9d394f86-c7a8-4d9b-9496-66293a208fcf","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",10,1.85,"1 point",0.24,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.04,0.46,0,
"9802b9c3-1a2c-407c-90c0-269d2efd6920","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",2,0.65,"1 point",0.11,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.02,0.17,0,
"5f72f6e5-40b8-4c0f-8495-1e695e0db3a4","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",6,1.25,"1 point",0.30,"-",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0,
"ffe1d39c-5751-4f02-9148-854cfd96e832","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",8,1.55,"1 point",0.28,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.04,0.39,0,
"a5c83125-609a-407f-9386-7ab190d8a898","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",7,1.40,"1 point",0.29,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.04,0.28,0,
"7e303f78-c25a-40e0-9767-a78cc0182af2","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",5,1.10,"1 point",0.27,"-",0.00,0.00,0.00,0.03,0.00,0.00,0.03,0.04,1.35,0,
"08837bf1-23fc-4b6d-b7b7-2343f45573b8","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",4,0.95,"1 point",0.21,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.03,0.36,0,
"633e9ff4-6539-4d8a-ac68-2cc49a6bd980","eb62c989-6c39-4abd-a049-21deb0ea7f27","D10","ARIK","ARIK.AOS.discharge","NSCHROETER","2014-07-01T16:31Z","2014-07-01T16:31Z",3,0.80,"1 point",0.18,"-",0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.03,0.38,0,
